ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,The 7 Habits Of Highly Effective Teenagers,Sean Covey,ePUB,$16.99,$16.99,31-03-2011,Simon & Schuster UK,288,https://www.booktopia.com.au/the-7-habits-of-highly-effective-teenagers-sean-covey/ebook/9780857206473.html
9.78E+12,Nineteen Eighty-Four,George Orwell; Thomas Pynchon,ePUB,$10.99,$10.99,29-01-2004,Penguin Books Ltd,400,https://www.booktopia.com.au/nineteen-eighty-four-george-orwell/ebook/9780141919959.html
9.78E+12,The King's Men,Nora Sakavic,ePUB,$1.43,$1.43,19-05-2015,Nora Sakavic,,https://www.booktopia.com.au/the-king-s-men-nora-sakavic/ebook/9781310839696.html
9.78E+12,I'm a T. Rex!,Dennis R. Shealy; Brian Biggs,ePUB,$8.79,$7.99,25-04-2012,Random House Children's Books,,https://www.booktopia.com.au/i-m-a-t-rex--dennis-r-shealy/ebook/9780307978882.html
9.78E+12,Dracula,Bram Stoker,ePUB,$1.45,$1.45,06-02-2012,Dover Publications,336,https://www.booktopia.com.au/dracula-bram-stoker/ebook/9780486114750.html
9.78E+12,Lucy Sullivan is Getting Married,Marian Keyes,ePUB,$15.99,$15.99,13-07-2017,Penguin Books Ltd,672,https://www.booktopia.com.au/lucy-sullivan-is-getting-married-marian-keyes/ebook/9781405935166.html
9.78E+12,The Beach,Alex Garland,ePUB,$15.99,$15.99,05-07-2007,Penguin Books Ltd,448,https://www.booktopia.com.au/the-beach-alex-garland/ebook/9780141941448.html
9.78E+12,The Green Mile,Stephen King,ePUB,$13.99,$13.99,25-11-2010,Orion,448,https://www.booktopia.com.au/the-green-mile-stephen-king/ebook/9780575087309.html
9.78E+12,Persuasion,Jane Austen,ePUB,$3.99,$3.99,29-01-2008,Random House Publishing Group,,https://www.booktopia.com.au/persuasion-jane-austen/ebook/9780553904567.html
9.78E+12,The Crowded Grave,Martin Walker,ePUB,$11.99,$11.99,29-10-2011,Quercus,320,https://www.booktopia.com.au/the-crowded-grave-martin-walker/ebook/9780857389572.html
9.78E+12,Eeny Meeny,M. J. Arlidge,ePUB,$15.99,$15.99,08-05-2014,Penguin Books Ltd,464,https://www.booktopia.com.au/eeny-meeny-m-j-arlidge/ebook/9781405914895.html
9.78E+12,Tao Te Ching,Lao Tzu; D. C. Lau,ePUB,$10.99,$10.99,01-01-2000,Penguin Books Ltd,192,https://www.booktopia.com.au/tao-te-ching-lao-tzu/ebook/9780141922324.html
9.78E+12,The Cake Bible,Rose Levy Beranbaum,ePUB,$42.99,$42.99,06-09-2016,HarperCollins,560,https://www.booktopia.com.au/the-cake-bible-rose-levy-beranbaum/ebook/9780544859562.html
9.78E+12,Midnight in the Garden of Good and Evil,John Berendt,ePUB,$25.7,$20.99,12-05-2010,Knopf Doubleday Publishing Group,,https://www.booktopia.com.au/midnight-in-the-garden-of-good-and-evil-john-berendt/ebook/9780307538376.html
9.78E+12,A Liverpool Legacy,Anne Baker,Paperback,$27.75,$27.75,05-06-2014,Headline,384,https://www.booktopia.com.au/a-liverpool-legacy-anne-baker/book/9780755399604.html
9.78E+12,The Rainmaker,John Grisham,ePUB,$15.99,$15.99,21-04-2010,Random House,720,https://www.booktopia.com.au/the-rainmaker-john-grisham/ebook/9781407059198.html
9.78E+12,The Murder Room,P. D. James,ePUB,$14.29,$12.99,04-09-2008,Faber & Faber,320,https://www.booktopia.com.au/the-murder-room-p-d-james/ebook/9780571247035.html
9.78E+12,Thor,Jason Aaron; Esad Ribic,ePUB,$13.19,$10.99,02-04-2014,Marvel Entertainment,,https://www.booktopia.com.au/thor-jason-aaron/ebook/9781302013769.html
9.78E+12,Fatal Cut,June Hampson,ePUB,$11.99,$11.99,16-04-2009,Orion,320,https://www.booktopia.com.au/fatal-cut-june-hampson/ebook/9781409106968.html
9.78E+12,The Queen and I,Sue Townsend,ePUB,$15.99,$15.99,28-11-2002,Penguin Books Ltd,288,https://www.booktopia.com.au/the-queen-and-i-sue-townsend/ebook/9780141938332.html
9.78E+12,All the Bright Places,Jennifer Niven,ePUB,$12.99,$12.99,08-01-2015,Penguin Random House Children's UK,300,https://www.booktopia.com.au/all-the-bright-places-jennifer-niven/ebook/9780141357041.html
